+------+----------------------+--------------------+-----------+-----------+-------------------+-------------+----------------------------------------------+-------------------+-------------+-----------------+-----------------+----------------+--------------+------------------+------------------+-----------------+-----------+---------------+---------------+--------------+-----------+---------------+---------------+--------------+-------------+-----------------+-----------------+----------------+-------------+-----------------+-----------------+----------------+------------------+---------------+-------------------+-------------------+------------------+------------+----------------+----------------+---------------+----------+--------------+--------------+-------------+------------+---------------+-----------+---------------+---------------+--------------+----------+--------------+--------------+-------------+-----------+---------------+---------------+--------------+----------+--------------+--------------+-------------+---------------+-----------+---------------+---------------+--------------+--------------+-----------+---------------+------------+------------+---------------+---------------+-----------+---------------+---------------+-----------+---------------+---------------+--------------+------------------+------------------+
|      | pl_name              | hostname           |   sy_snum |   sy_pnum | discoverymethod   |   disc_year | disc_facility                                |   pl_controv_flag |   pl_orbper |   pl_orbpererr1 |   pl_orbpererr2 |   pl_orbperlim |   pl_orbsmax |   pl_orbsmaxerr1 |   pl_orbsmaxerr2 |   pl_orbsmaxlim |   pl_rade |   pl_radeerr1 |   pl_radeerr2 |   pl_radelim |   pl_radj |   pl_radjerr1 |   pl_radjerr2 |   pl_radjlim |   pl_bmasse |   pl_bmasseerr1 |   pl_bmasseerr2 |   pl_bmasselim |   pl_bmassj |   pl_bmassjerr1 |   pl_bmassjerr2 |   pl_bmassjlim | pl_bmassprov     |   pl_orbeccen |   pl_orbeccenerr1 |   pl_orbeccenerr2 |   pl_orbeccenlim |   pl_insol |   pl_insolerr1 |   pl_insolerr2 |   pl_insollim |   pl_eqt |   pl_eqterr1 |   pl_eqterr2 |   pl_eqtlim |   ttv_flag | st_spectype   |   st_teff |   st_tefferr1 |   st_tefferr2 |   st_tefflim |   st_rad |   st_raderr1 |   st_raderr2 |   st_radlim |   st_mass |   st_masserr1 |   st_masserr2 |   st_masslim |   st_met |   st_meterr1 |   st_meterr2 |   st_metlim | st_metratio   |   st_logg |   st_loggerr1 |   st_loggerr2 |   st_logglim | rastr        |        ra | decstr        |        dec |    sy_dist |   sy_disterr1 |   sy_disterr2 |   sy_vmag |   sy_vmagerr1 |   sy_vmagerr2 |   sy_kmag |   sy_kmagerr1 |   sy_kmagerr2 |   sy_gaiamag |   sy_gaiamagerr1 |   sy_gaiamagerr2 |
|------+----------------------+--------------------+-----------+-----------+-------------------+-------------+----------------------------------------------+-------------------+-------------+-----------------+-----------------+----------------+--------------+------------------+------------------+-----------------+-----------+---------------+---------------+--------------+-----------+---------------+---------------+--------------+-------------+-----------------+-----------------+----------------+-------------+-----------------+-----------------+----------------+------------------+---------------+-------------------+-------------------+------------------+------------+----------------+----------------+---------------+----------+--------------+--------------+-------------+------------+---------------+-----------+---------------+---------------+--------------+----------+--------------+--------------+-------------+-----------+---------------+---------------+--------------+----------+--------------+--------------+-------------+---------------+-----------+---------------+---------------+--------------+--------------+-----------+---------------+------------+------------+---------------+---------------+-----------+---------------+---------------+-----------+---------------+---------------+--------------+------------------+------------------|
|  125 | DMPP-3 A b           | DMPP-3 A           |         2 |         1 | Radial Velocity   |        2019 | La Silla Observatory                         |                 0 |    6.6732   |        0.0011   |       -0.0003   |              0 |     0.0662   |         0.0013   |        -0.0013   |               0 |     1.41  |       nan     |       nan     |            0 |     0.126 |       nan     |       nan     |            0 |     2.58    |         0.35    |        -0.58    |              0 |     0.00812 |         0.0011  |        -0.00182 |              0 | Msini            |        0.14   |          0.091    |         -0.053    |                0 |     nan    |         nan    |         nan    |           nan |      854 |          nan |          nan |           0 |          0 | K0 V          |   5138    |         99    |        -99    |            0 |     0.91 |         0.02 |        -0.02 |           0 |      0.87 |          0.05 |         -0.05 |            0 |    0.18  |        0.09  |       -0.09  |           0 | [Fe/H]        |      4.3  |          0.51 |         -0.51 |            0 | 06h06m29.85s |  91.6244  | -72d30m45.6s  | -72.5127   |   45.23    |       1.6     |      -1.72    |   9.066   |         0.019 |       nan     |     7.061 |         0.02  |       nan     |      8.8543  |      nan         |      nan         |
|  134 | EPIC 201754305 d     | K2-16              |         1 |         3 | Transit           |        2019 | K2                                           |                 0 |    2.71578  |        0.00031  |       -0.00031  |              0 |   nan        |       nan        |       nan        |             nan |     1.03  |         0.085 |        -0.086 |            0 |     0.092 |         0.008 |        -0.008 |            0 |     1.08    |       nan       |       nan       |              0 |     0.0034  |       nan       |       nan       |              0 | M-R relationship |      nan      |        nan        |        nan        |              nan |     nan    |         nan    |         nan    |           nan |      nan |          nan |          nan |         nan |          0 | K3 V          |   4761    |         50    |        -57    |            0 |     0.54 |         0.02 |        -0.01 |           0 |      0.67 |          0.03 |         -0.04 |            0 |   -0.33  |        0.04  |       -0.04  |           0 | [Fe/H]        |      4.63 |          0.03 |         -0.03 |            0 | 11h40m23.33s | 175.097   | +04d33m26.75s |   4.55743  |  334.967   |       4.1785  |      -4.1785  |  14.668   |         0.137 |        -0.137 |    12.087 |         0.023 |        -0.023 |     14.3234  |        0.000359  |       -0.000359  |
|  162 | EPIC 220674823 b     | EPIC 220674823     |         1 |         2 | Transit           |        2016 | K2                                           |                 0 |    0.571212 |        3.8e-05  |       -3.8e-05  |              0 |     0.01312  |         0.00014  |        -0.00014  |               0 |     1.6   |         0.1   |        -0.1   |            0 |     0.143 |         0.009 |        -0.009 |            0 |     7.72    |         0.8     |        -0.79    |              0 |     0.02429 |         0.00252 |        -0.00249 |              0 | Mass             |        0      |        nan        |        nan        |                0 |    4293    |         483    |        -483    |             0 |     2119 |           41 |          -41 |           0 |          0 | G5 V          |   5613    |         39    |        -39    |            0 |     0.95 |         0.05 |        -0.05 |           0 |      0.93 |          0.01 |         -0.01 |            0 |    0.01  |        0.01  |       -0.01  |           0 | [Fe/H]        |      4.6  |          0.07 |         -0.07 |            0 | 00h52m19.21s |  13.08    | +10d47m40.94s |  10.7947   |  244.59    |       3.044   |      -2.972   |  12.101   |         0.031 |        -0.031 |    10.344 |         0.021 |        -0.021 |     11.9535  |        0.00022   |       -0.00022   |
|  295 | GJ 9827 b            | GJ 9827            |         1 |         3 | Transit           |        2017 | K2                                           |                 0 |    1.20898  |        6.93e-06 |       -7.14e-06 |              0 |     0.0188   |         0.0002   |        -0.00014  |               0 |     1.577 |         0.027 |        -0.031 |            0 |     0.141 |         0.002 |        -0.003 |            0 |     4.91    |         0.49    |        -0.49    |              0 |     0.01545 |         0.00154 |        -0.00154 |              0 | Mass             |        0      |        nan        |        nan        |                0 |     256    |          44    |         -23    |             0 |     1044 |           36 |          -31 |           0 |          0 | K6 V          |   4340    |         40    |        -53    |            0 |     0.6  |         0.01 |         0    |           0 |      0.61 |          0.02 |         -0.01 |            0 |   -0.26  |        0.09  |       -0.09  |           0 | [m/H]         |      4.66 |          0.02 |         -0.01 |            0 | 23h27m05.23s | 351.772   | -01d17m07.24s |  -1.28534  |   29.661   |       0.0543  |      -0.0541  |  10.37    |         0.03  |        -0.03  |     7.193 |         0.024 |        -0.024 |      9.83773 |        0.000411  |       -0.000411  |
|  296 | GJ 9827 c            | GJ 9827            |         1 |         3 | Transit           |        2017 | K2                                           |                 0 |    3.6481   |        6.33e-05 |       -6.21e-05 |              0 |     0.03925  |         0.00042  |        -0.00029  |               0 |     1.241 |         0.024 |        -0.026 |            0 |     0.111 |         0.002 |        -0.002 |            0 |     0.84    |       nan       |       nan       |              0 |     0.00264 |       nan       |       nan       |              0 | Mass             |        0      |        nan        |        nan        |                0 |      59    |          10    |          -5    |             0 |      722 |           25 |          -22 |           0 |          0 | K6 V          |   4340    |         40    |        -53    |            0 |     0.6  |         0.01 |         0    |           0 |      0.61 |          0.02 |         -0.01 |            0 |   -0.26  |        0.09  |       -0.09  |           0 | [m/H]         |      4.66 |          0.02 |         -0.01 |            0 | 23h27m05.23s | 351.772   | -01d17m07.24s |  -1.28534  |   29.661   |       0.0543  |      -0.0541  |  10.37    |         0.03  |        -0.03  |     7.193 |         0.024 |        -0.024 |      9.83773 |        0.000411  |       -0.000411  |
|  594 | HD 137496 b          | HD 137496          |         1 |         2 | Transit           |        2021 | K2                                           |                 0 |    1.62116  |        7.91e-05 |       -8.06e-05 |              0 |     0.02732  |         0.00019  |        -0.00019  |               0 |     1.31  |         0.06  |        -0.05  |            0 |     0.117 |         0.005 |        -0.004 |            0 |     4.04    |         0.55    |        -0.55    |              0 |     0.01271 |         0.00173 |        -0.00173 |              0 | Mass             |        0      |        nan        |        nan        |                0 |     nan    |         nan    |         nan    |           nan |     2130 |           30 |          -29 |           0 |          0 | G             |   5799    |         61    |        -61    |            0 |     1.59 |         0.03 |        -0.03 |           0 |      1.04 |          0.02 |         -0.02 |            0 |   -0.03  |        0.04  |       -0.04  |           0 | [Fe/H]        |      4.05 |          0.1  |         -0.1  |            0 | 15h26m58.09s | 231.742   | -16d30m32.41s | -16.509    |  155.317   |       1.739   |      -1.702   |   9.899   |         0.006 |        -0.006 |     8.244 |         0.036 |        -0.036 |      9.77168 |        0.000601  |       -0.000601  |
|  676 | HD 158259 b          | HD 158259          |         1 |         5 | Radial Velocity   |        2020 | Haute-Provence Observatory                   |                 0 |    2.178    |        9e-05    |       -0.0001   |              0 |   nan        |       nan        |       nan        |             nan |     1.285 |         0.067 |        -0.067 |            0 |     0.115 |         0.006 |        -0.006 |            0 |     2.22    |         0.39    |        -0.45    |              0 |     0.00698 |         0.00123 |        -0.00142 |              0 | Msini            |      nan      |        nan        |        nan        |              nan |     802.73 |         nan    |         nan    |             0 |     1482 |          nan |          nan |           0 |          0 | G0            |   5801.89 |        124.62 |       -124.62 |            0 |     1.21 |         0.03 |        -0.08 |           0 |      1.08 |          0.1  |         -0.1  |            0 |  nan     |      nan     |      nan     |         nan | nan           |      4.25 |          0.08 |         -0.08 |            0 | 17h25m23.90s | 261.35    | +52d47m25.70s |  52.7905   |   27.0498  |       0.0215  |      -0.0215  |   6.47915 |         0.023 |        -0.023 |     4.965 |         0.023 |        -0.023 |      6.30694 |        0.0003985 |       -0.0003985 |
|  821 | HD 20781 b           | HD 20781           |         2 |         5 | Radial Velocity   |        2019 | La Silla Observatory                         |                 0 |    5.3135   |        0.001    |       -0.001    |              0 |     0.0529   |         0.0024   |        -0.0027   |               0 |     1.21  |       nan     |       nan     |            0 |     0.108 |       nan     |       nan     |            0 |     1.93    |         0.39    |        -0.36    |              0 |     0.0061  |         0.0012  |        -0.0011  |              0 | Msini            |        0.1    |          0.11     |         -0.07     |                0 |     nan    |         nan    |         nan    |           nan |      nan |          nan |          nan |         nan |          0 | K0 V          |   5256    |         29    |        -29    |            0 |     0.83 |         0.02 |        -0.02 |           0 |      0.7  |        nan    |        nan    |            0 |   -0.11  |        0.02  |       -0.02  |           0 | [Fe/H]        |      4.37 |          0.05 |         -0.05 |            0 | 03h20m03.35s |  50.014   | -28d47m02.82s | -28.7841   |   35.9715  |       0.0527  |      -0.0526  |   8.48    |         0.03  |        -0.03  |     6.553 |         0.023 |        -0.023 |      8.2372  |        0.000214  |       -0.000214  |
|  829 | HD 20794 b           | HD 20794           |         1 |         4 | Radial Velocity   |        2011 | La Silla Observatory                         |                 0 |   18.315    |        0.008    |       -0.008    |              0 |     0.1207   |         0.002    |        -0.002    |               0 |     1.45  |       nan     |       nan     |            0 |     0.129 |       nan     |       nan     |            0 |     2.7     |         0.3     |        -0.3     |              0 |     0.0085  |         0.0009  |        -0.0009  |              0 | Msin(i)/sin(i)   |        0      |        nan        |        nan        |                0 |     nan    |         nan    |         nan    |           nan |      660 |          nan |          nan |           0 |          0 | G8 V          |   5401    |         17    |        -17    |            0 |     0.92 |         0.02 |        -0.02 |           0 |      0.7  |        nan    |        nan    |            0 |   -0.4   |        0.01  |       -0.01  |           0 | [Fe/H]        |      4.22 |          0.11 |         -0.11 |            0 | 03h19m59.94s |  49.9998  | -43d03m59.95s | -43.0667   |    6.00278 |       0.00854 |      -0.00851 |   4.26    |         0.03  |        -0.03  |     2.636 |         0.278 |        -0.278 |      4.06635 |        0.0051023 |       -0.0051023 |
